,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean
139,1944-05-19 00:00:00+00:00,9.845166,0.5,5.688156
140,1944-05-20 00:00:00+00:00,7.851416,1.0,12.774637
141,1944-05-21 00:00:00+00:00,7.816,0.0,11.311387
142,1944-05-22 00:00:00+00:00,9.228501,0.0,8.950237
143,1944-05-23 00:00:00+00:00,9.39725,0.0,7.5112305
144,1944-05-24 00:00:00+00:00,10.20975,0.1,15.647763
145,1944-05-25 00:00:00+00:00,11.726418,3.1999998,19.64159
146,1944-05-26 00:00:00+00:00,14.368083,7.899999,24.168741
147,1944-05-27 00:00:00+00:00,14.257668,1.3000001,15.660421
148,1944-05-28 00:00:00+00:00,16.132666,0.0,10.094598
149,1944-05-29 00:00:00+00:00,17.50975,0.0,5.104404
150,1944-05-30 00:00:00+00:00,16.407663,0.0,7.961434
151,1944-05-31 00:00:00+00:00,14.813916,0.90000004,10.106231
152,1944-06-01 00:00:00+00:00,11.955585,8.3,8.145012
153,1944-06-02 00:00:00+00:00,11.201416,0.3,23.026642
154,1944-06-03 00:00:00+00:00,11.334751,2.7,18.428986
155,1944-06-04 00:00:00+00:00,12.213916,9.6,28.478115
156,1944-06-05 00:00:00+00:00,10.641,2.3999996,29.946293
157,1944-06-06 00:00:00+00:00,9.941001,2.9999998,21.688843
158,1944-06-07 00:00:00+00:00,12.143085,0.8000001,10.926199
159,1944-06-08 00:00:00+00:00,11.009749,0.2,10.146296
160,1944-06-09 00:00:00+00:00,11.805583,5.7999997,11.295096
161,1944-06-10 00:00:00+00:00,10.670167,0.8000001,14.270543
162,1944-06-11 00:00:00+00:00,11.143085,1.0,17.51816
163,1944-06-12 00:00:00+00:00,12.055583,1.0,22.871578
164,1944-06-13 00:00:00+00:00,11.868084,4.7999997,17.87211
165,1944-06-14 00:00:00+00:00,11.32225,3.9,21.663235
166,1944-06-15 00:00:00+00:00,11.418083,2.6,18.475967
167,1944-06-16 00:00:00+00:00,12.474334,2.4,18.126364
168,1944-06-17 00:00:00+00:00,11.815999,0.0,8.517292
169,1944-06-18 00:00:00+00:00,13.311833,0.0,3.8923821
170,1944-06-19 00:00:00+00:00,15.028502,0.0,5.5953364
171,1944-06-20 00:00:00+00:00,13.511832,0.0,10.148489
172,1944-06-21 00:00:00+00:00,13.370168,0.0,9.748224
173,1944-06-22 00:00:00+00:00,13.995167,0.0,7.7204633
174,1944-06-23 00:00:00+00:00,12.934751,0.3,8.917429
175,1944-06-24 00:00:00+00:00,13.947251,0.0,14.590061
176,1944-06-25 00:00:00+00:00,12.116,1.0000001,14.12286
177,1944-06-26 00:00:00+00:00,11.938916,7.7000003,8.107303
178,1944-06-27 00:00:00+00:00,11.488917,12.100002,13.194538
179,1944-06-28 00:00:00+00:00,11.711834,13.200001,23.147017
180,1944-06-29 00:00:00+00:00,14.086834,8.099999,9.432193
